Standings,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14
1,Oregon,Iowa State,Iowa State,Iowa State,Iowa State,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana
2,Notre Dame,Western Kentucky,Western Kentucky,Missouri,Vanderbilt,Ole Miss,Iowa State,Texas A&M,Ohio State,Ohio State,Texas A&M,Ohio State,Texas A&M,Texas Tech,Ohio State
3,Penn State,Kansas,Kansas,Oklahoma,Oregon,USC,Ole Miss,Illinois,Texas Tech,Alabama,BYU,Texas Tech,Texas Tech,Ohio State,BYU
4,Texas,Hawai'i,UNLV,South Florida,Georgia,Oklahoma,Oregon,Ohio State,Texas A&M,BYU,Alabama,Alabama,Ohio State,Texas A&M,Texas A&M
5,SMU,UNLV,Tennessee,UNLV,Missouri,Missouri,Vanderbilt,Texas Tech,BYU,Texas A&M,Georgia Tech,Texas A&M,Alabama,Georgia,Texas Tech
6,Georgia,Oregon,LSU,Illinois,USC,LSU,Missouri,Memphis,Alabama,Georgia Tech,Ohio State,Georgia Tech,BYU,BYU,Oregon
7,Indiana,Notre Dame,Georgia Tech,Tulane,Oklahoma,Texas Tech,Georgia Tech,BYU,Georgia Tech,Texas Tech,Texas Tech,BYU,Georgia,Ole Miss,Georgia
8,Ohio State,Penn State,Auburn,LSU,California,Vanderbilt,Tennessee,Ole Miss,Ole Miss,Georgia,Oregon,Virginia,Ole Miss,Virginia,Alabama
9,Iowa State,Texas,Florida State,Pittsburgh,Auburn,Miami,Arizona State,Virginia,Georgia,Oregon,Houston,Ole Miss,Oregon,Oregon,Notre Dame
10,BYU,SMU,South Carolina,Houston,Ole Miss,Georgia Tech,Memphis,Oregon,Memphis,Cincinnati,Cincinnati,Louisville,Georgia Tech,Alabama,Oklahoma
11,Boise State,Georgia,South Florida,Oregon,Tulane,Mississippi State,Texas A&M,Miami,Miami,South Florida,Ole Miss,Michigan,Houston,Georgia Tech,Michigan
12,Miami,Indiana,Arizona,Ole Miss,LSU,Oregon,USC,Vanderbilt,USC,Oklahoma,Vanderbilt,Utah,Virginia,Notre Dame,Utah
13,Alabama,Ohio State,Rice,Tennessee,Nebraska,North Texas,Oklahoma,Missouri,Nebraska,Vanderbilt,Virginia,Georgia,Utah,USC,Ole Miss
14,Ole Miss,BYU,Georgia,Louisville,North Texas,Maryland,North Texas,Oklahoma,Illinois,Missouri,Michigan,North Texas,Louisville,Utah,Virginia
15,Tennessee,Boise State,Ohio State,Georgia Tech,Utah,Iowa State,Ohio State,Iowa State,Oklahoma,Michigan,Miami,Oklahoma,USC,Miami,North Texas
16,South Carolina,Miami,Miami,Auburn,Houston,Memphis,Illinois,Georgia Tech,Washington,Houston,Louisville,Pittsburgh,Vanderbilt,Oklahoma,Miami
17,Arizona State,Alabama,TCU,Florida State,Illinois,TCU,BYU,Alabama,Vanderbilt,Louisville,North Texas,Oregon,Notre Dame,Michigan,Georgia Tech
18,UNLV,Ole Miss,Minnesota,Penn State,Texas A&M,Michigan,Utah,Duke,Cincinnati,Ole Miss,Georgia,Texas,North Texas,North Texas,James Madison
19,Clemson,Tennessee,Nebraska,Georgia,Georgia Tech,Kansas,Houston,North Texas,Virginia,Virginia,Memphis,Memphis,Miami,James Madison,USC
20,Louisville,South Carolina,California,BYU,NC State,Georgia,Miami,Western Kentucky,Utah,North Texas,TCU,Vanderbilt,Michigan,Houston,SMU
21,Louisiana,Arizona State,Utah,South Carolina,Penn State,Arizona State,Louisville,Georgia,South Florida,Notre Dame,Pittsburgh,Cincinnati,Texas,Louisville,Tulane
22,Syracuse,Clemson,Wisconsin,Texas Tech,Indiana,Auburn,Tulane,Michigan,Oregon,Nebraska,Nebraska,Houston,Pittsburgh,Tulane,Pittsburgh
23,Colorado,Louisville,Indiana,Texas A&M,Ohio State,Houston,Texas Tech,Tennessee,Tennessee,Tulane,Washington,USC,Oklahoma,Illinois,Vanderbilt
24,Kansas State,Louisiana,Tulane,Navy,Memphis,BYU,California,Arizona State,LSU,Miami,Utah,San Diego State,SMU,Vanderbilt,San Diego State
25,Illinois,Syracuse,Texas A&M,Nebraska,Texas Tech,Tennessee,Virginia,TCU,Missouri,Arizona State,Texas,Arizona State,Nebraska,San Diego State,Texas
26,Army,Colorado,Michigan,Vanderbilt,Arizona,UNLV,Mississippi State,USC,Navy,Illinois,South Florida,Miami,James Madison,Texas,Washington
27,Baylor,Kansas State,Washington,Arkansas,Navy,Iowa,LSU,Kansas,Iowa State,Memphis,Oklahoma,Western Kentucky,Cincinnati,Western Kentucky,Arizona State
28,Tulane,Illinois,Virginia,California,Michigan State,Texas A&M,Maryland,Tulane,Tulane,TCU,Iowa,Notre Dame,South Florida,SMU,Houston
29,LSU,Army,Michigan State,Utah,Maryland,Nebraska,Duke,Nebraska,Houston,USC,Tennessee,TCU,Memphis,Arizona State,Wake Forest
30,Iowa,Baylor,Central Michigan,Michigan State,Mississippi State,NC State,Navy,Washington,North Texas,SMU,Missouri,Washington,Tulane,Pittsburgh,Arizona
31,Memphis,Tulane,Oregon,Arizona,Miami,California,Western Kentucky,Cincinnati,San Diego State,Iowa State,San Diego State,SMU,Iowa State,Nebraska,South Florida
32,Texas Tech,LSU,Penn State,Maryland,Rutgers,South Florida,Alabama,UNLV,UNLV,Pittsburgh,Boise State,Illinois,Arizona State,Washington,Louisville
33,Texas A&M,Iowa,SMU,Mississippi State,Hawai'i,Florida State,Michigan,Navy,Duke,James Madison,Southern Miss,Nebraska,TCU,South Florida,TCU
